Device,Brand,Age_Months,Daily_Usage_Hours,Usage_Type,Failure_After_Months,Symptom1,Symptom2,Symptom3,Severity,Faulty_Component,Recommended_Solution,Estimated_Repair_Cost_INR,Estimated_Repair_Time_Hours
Mobile,Vivo,30,10,Normal,30,No Charge,Adapter OK,Battery Healthy,Medium,Charging IC,Step 1: Test with a different cable and charger to rule out accessories; Step 2: Clean the charging port of dust/lint; Step 3: Restart the device and check for charging software glitch; Step 4: Check for overheating during charging attempts; Step 5: Replace the charging IC at a service center if hardware fault is confirmed.,3350,1.8
Desktop,MSI,19,14,Student,13,Burning Smell,No Display,No Power,High,Motherboard,"Step 1: Disconnect all peripherals and power cables; Step 2: Inspect for bulging/burnt capacitors and burning smell; Step 3: Reset CMOS using the jumper or by removing the battery; Step 4: Reseat RAM and GPU to rule out connection issues; Step 5: If no POST persists, the motherboard likely needs professional repair or replacement.",5750,5.3
Laptop,Apple,91,9,Developer,88,Black Screen,Phone Vibrates,Calls Received,High,Display,Step 1: Connect to an external monitor to check if the issue is the panel or GPU; Step 2: Check display cable/flex connection inside the device; Step 3: Adjust brightness and refresh rate settings to rule out software glitches; Step 4: Update or roll back display drivers; Step 5: Replace the display panel/digitizer if hardware fault is confirmed.,7100,2.9
Desktop,Asus,93,12,Remote Worker,83,Peripheral Failure,Boot Error,Power ON,High,Motherboard,"Step 1: Disconnect all peripherals and power cables; Step 2: Inspect for bulging/burnt capacitors and burning smell; Step 3: Reset CMOS using the jumper or by removing the battery; Step 4: Reseat RAM and GPU to rule out connection issues; Step 5: If no POST persists, the motherboard likely needs professional repair or replacement.",9000,3.4
Desktop,Asus,56,9,Normal,54,Rattling Noise,Vibration,Reduced Airflow,Low,Case Fan,Step 1: Power off and open the case to inspect the fan; Step 2: Clean dust from the fan blades and grille; Step 3: Check fan cable connection to the motherboard/PSU; Step 4: Lubricate or replace bearings if rattling continues; Step 5: Replace the fan if it does not spin after cleaning.,450,1.5
Laptop,Apple,17,7,Gaming,15,Loose Hinge,Screen Wobble,Cracking Sound,Medium,Hinge,Step 1: Inspect hinge alignment and screws for looseness; Step 2: Tighten visible hinge screws carefully; Step 3: Check for cracks in the hinge housing/plastic; Step 4: Apply light lubrication if movement is stiff; Step 5: Replace the hinge assembly if cracked or completely loose.,2750,1.6
Mobile,OnePlus,25,2,Gaming,20,No Sound,Calls OK,Headphones Work,Low,Speaker,Step 1: Check volume mixer and mute settings; Step 2: Update or reinstall audio drivers; Step 3: Test with headphones to isolate speaker hardware fault; Step 4: Clean speaker grille of dust/debris; Step 5: Replace the speaker unit if crackling/no sound persists.,1500,1.1
Mobile,OnePlus,55,6,Office,52,No Sound,Calls OK,Headphones Work,Low,Speaker,Step 1: Check volume mixer and mute settings; Step 2: Update or reinstall audio drivers; Step 3: Test with headphones to isolate speaker hardware fault; Step 4: Clean speaker grille of dust/debris; Step 5: Replace the speaker unit if crackling/no sound persists.,1350,1.5
Mobile,Oppo,3,3,Normal,1,Muffled Audio,Low Mic Volume,Calls OK,Low,Microphone,Step 1: Check microphone permissions for the affected app; Step 2: Remove any case or cover that may be blocking the mic; Step 3: Test microphone in voice recorder app vs call app; Step 4: Clean the microphone grille of dust/debris; Step 5: Replace the microphone module at a service center if issue persists.,900,1.2
Laptop,Apple,14,3,Content Creator,6,Fan Whining Noise,Hot Bottom Panel,Performance Drop,Medium,Cooling Fan,Step 1: Use compressed air to clean the fan vents and intake; Step 2: Open the back panel and clean dust from the fan and heatsink; Step 3: Check fan spin freely without obstruction; Step 4: Reapply thermal paste on CPU/GPU if overheating persists; Step 5: Replace the cooling fan if noise or shutdown continues after cleaning.,1750,1.1
Laptop,HP,18,1,Normal,12,No Charge,Battery OK,Power Adapter Error,Low,Charger,Step 1: Inspect the charger cable and adapter for visible damage; Step 2: Check the wall socket with another device; Step 3: Clean the charging port of dust/debris; Step 4: Test with a different compatible charger/adapter; Step 5: Replace the charger if output voltage is incorrect or it overheats.,1200,1.5
Mobile,Samsung,85,12,Gaming,81,Cable Moves Loosely,Charging Stops,Slow Charging,Low,Charging Port,"Step 1: Inspect the charging port for lint, dust, or debris and clean gently; Step 2: Check for bent or damaged pins inside the port; Step 3: Try a different cable to confirm port vs cable issue; Step 4: Wiggle test the cable while charging to detect loose connection; Step 5: Replace the charging port assembly if connection remains loose.",1000,1.4
Desktop,Lenovo,79,5,Office,70,No Display,Artifacts,System Running,Medium,GPU,"Step 1: Update or reinstall the latest GPU drivers; Step 2: Check for overheating using monitoring software (e.g., HWMonitor); Step 3: Reseat the GPU in the PCIe slot and check power connectors; Step 4: Test the GPU in another system or test another GPU in this system; Step 5: Send for repair/replacement if artifacts persist after a clean driver install.",2350,2.0
Desktop,Asus,43,9,Content Creator,43,Disk Not Detected,Boot Failure,BIOS Error,High,HDD,Step 1: Back up all data immediately when clicking/grinding noise is heard; Step 2: Check SMART status using CrystalDiskInfo; Step 3: Check and reseat the SATA power and data cables; Step 4: Run CHKDSK to scan for and attempt recovery of bad sectors; Step 5: Replace the HDD with an SSD if failure is confirmed.,3200,1.6
Mobile,Xiaomi,26,12,Gaming,17,Delayed Touch Response,Random Taps,Screen Freeze,High,Touch Screen Digitizer,Step 1: Clean the screen and remove any screen protector causing interference; Step 2: Restart the device to rule out a software freeze; Step 3: Test touch response in safe mode; Step 4: Check for physical screen damage near unresponsive areas; Step 5: Replace the touch digitizer if ghost touch continues after restart.,4950,1.9
Desktop,HP,77,13,Remote Worker,71,No Boot,Beep Code,Memory Error,Medium,RAM,"Step 1: Power off and reseat the RAM modules firmly in their slots; Step 2: Clean the RAM contacts gently with an eraser or contact cleaner; Step 3: Test each RAM stick individually in different slots to isolate the fault; Step 4: Run a memory diagnostic tool (e.g., Windows Memory Diagnostic / MemTest86); Step 5: Replace the faulty RAM module if errors persist.",3700,1.3
Mobile,Samsung,69,4,Student,65,Portable Use Failure,Battery Low,Charger OK,High,Battery,"Step 1: Check battery health using built-in diagnostics (e.g., powercfg /batteryreport); Step 2: Inspect for physical swelling or deformation - stop use immediately if found; Step 3: Calibrate the battery with a full charge-discharge cycle; Step 4: Check background apps causing excess power draw; Step 5: Replace the battery if health is below 50% or swelling is present.",3450,1.3
Mobile,Oppo,72,3,Remote Worker,70,No Vibration,Silent Notifications,Haptic Failure,Low,Vibration Motor,"Step 1: Check vibration settings are enabled in system settings; Step 2: Restart the device to rule out software glitch; Step 3: Test vibration in multiple apps (calls, notifications, keyboard); Step 4: Check for physical damage from drops; Step 5: Replace the vibration motor if it produces no haptic feedback.",400,1.2
Mobile,Xiaomi,44,3,Content Creator,43,Camera Not Focusing,Dark Images,Lens Error,Medium,Camera Module,Step 1: Clean the camera lens of smudges or dust; Step 2: Force-close and reopen the camera app; Step 3: Check for pending software updates; Step 4: Restart the device to clear temporary camera service errors; Step 5: Replace the camera module if blur/focus issues continue after cleaning.,3550,1.4
Mobile,Google,34,8,Gaming,30,Charging Stops Randomly,Overheating,Slow Charging,Medium,Charging IC,Step 1: Test with a different cable and charger to rule out accessories; Step 2: Clean the charging port of dust/lint; Step 3: Restart the device and check for charging software glitch; Step 4: Check for overheating during charging attempts; Step 5: Replace the charging IC at a service center if hardware fault is confirmed.,1900,2.3
Laptop,Apple,37,11,Gaming,29,Webcam Freeze,App Crash,No Video Feed,Low,Webcam,Step 1: Check camera privacy settings and app permissions; Step 2: Update or reinstall the webcam drivers; Step 3: Test the webcam in a different application; Step 4: Check the internal camera cable connection if accessible; Step 5: Replace the webcam module if not detected after driver reinstall.,1750,1.2
Desktop,Dell,32,4,Business,28,CPU Throttling,Grinding Noise,System Lag,Medium,CPU Fan,Step 1: Power off and unplug the system; Step 2: Open the cabinet and clean dust from the CPU fan and heatsink; Step 3: Check fan rotation manually and listen for bearing noise; Step 4: Reapply thermal paste on the CPU if it has dried out; Step 5: Replace the CPU fan if it does not spin freely or is noisy after cleaning.,550,1.6
Desktop,HP,61,14,Remote Worker,56,POST Failure,Beep Sound,Power ON,Medium,RAM,"Step 1: Power off and reseat the RAM modules firmly in their slots; Step 2: Clean the RAM contacts gently with an eraser or contact cleaner; Step 3: Test each RAM stick individually in different slots to isolate the fault; Step 4: Run a memory diagnostic tool (e.g., Windows Memory Diagnostic / MemTest86); Step 5: Replace the faulty RAM module if errors persist.",3000,1.5
Desktop,HP,36,14,Developer,31,Overheating,Fan Not Spinning,Auto Shutdown,Low,CPU Fan,Step 1: Power off and unplug the system; Step 2: Open the cabinet and clean dust from the CPU fan and heatsink; Step 3: Check fan rotation manually and listen for bearing noise; Step 4: Reapply thermal paste on the CPU if it has dried out; Step 5: Replace the CPU fan if it does not spin freely or is noisy after cleaning.,350,1.4
Desktop,Dell,73,11,Content Creator,67,Wrong Date Time,BIOS Reset,Boot Delay,Low,CMOS Battery,Step 1: Power off the system and unplug from the mains; Step 2: Open the cabinet and locate the CMOS coin-cell battery; Step 3: Remove and test battery voltage (should be ~3V); Step 4: Replace the CMOS battery with a new CR2032 cell; Step 5: Reset BIOS settings and set the correct date/time.,350,1.2
Desktop,Acer,31,7,Business,30,No POST,Power LED ON,No Boot,High,Motherboard,"Step 1: Disconnect all peripherals and power cables; Step 2: Inspect for bulging/burnt capacitors and burning smell; Step 3: Reset CMOS using the jumper or by removing the battery; Step 4: Reseat RAM and GPU to rule out connection issues; Step 5: If no POST persists, the motherboard likely needs professional repair or replacement.",8400,4.7
Laptop,Apple,6,1,Normal,4,Fan Whining Noise,Hot Bottom Panel,Performance Drop,Medium,Cooling Fan,Step 1: Use compressed air to clean the fan vents and intake; Step 2: Open the back panel and clean dust from the fan and heatsink; Step 3: Check fan spin freely without obstruction; Step 4: Reapply thermal paste on CPU/GPU if overheating persists; Step 5: Replace the cooling fan if noise or shutdown continues after cleaning.,1950,2.1
Laptop,HP,96,13,Office,86,Webcam Freeze,App Crash,No Video Feed,Medium,Webcam,Step 1: Check camera privacy settings and app permissions; Step 2: Update or reinstall the webcam drivers; Step 3: Test the webcam in a different application; Step 4: Check the internal camera cable connection if accessible; Step 5: Replace the webcam module if not detected after driver reinstall.,1650,1.3
Mobile,Xiaomi,51,3,Business,51,Slow WiFi,Bluetooth Disconnects,Signal Weak,Medium,WiFi Bluetooth Module,Step 1: Toggle airplane mode on/off to reset radios; Step 2: Forget and re-pair the Bluetooth device / re-join WiFi network; Step 3: Update device software to latest version; Step 4: Reset network settings to factory defaults; Step 5: Replace the WiFi/Bluetooth combo module if issues persist after reset.,1500,1.4
Laptop,Lenovo,30,2,Content Creator,28,Fast Battery Drain,Heating,Random Shutdown,High,Battery,"Step 1: Check battery health using built-in diagnostics (e.g., powercfg /batteryreport); Step 2: Inspect for physical swelling or deformation - stop use immediately if found; Step 3: Calibrate the battery with a full charge-discharge cycle; Step 4: Check background apps causing excess power draw; Step 5: Replace the battery if health is below 50% or swelling is present.",4450,2.4
Mobile,Vivo,67,6,Business,65,Loose Connection,Slow Charging,Intermittent Charging,Medium,Charging Port,"Step 1: Inspect the charging port for lint, dust, or debris and clean gently; Step 2: Check for bent or damaged pins inside the port; Step 3: Try a different cable to confirm port vs cable issue; Step 4: Wiggle test the cable while charging to detect loose connection; Step 5: Replace the charging port assembly if connection remains loose.",850,1.3
Mobile,Xiaomi,57,3,Student,56,Intermittent Network,SIM Error,Call Drop,Medium,SIM Card Reader,Step 1: Remove and reinsert the SIM card properly; Step 2: Clean the SIM contacts and tray; Step 3: Test the SIM in another phone to rule out SIM damage; Step 4: Check for carrier network outage in the area; Step 5: Replace the SIM tray/reader module if SIM is still not detected.,1600,1.0
Mobile,Vivo,62,3,Developer,56,Lines On Screen,Display Lag,Power ON,High,Display,Step 1: Connect to an external monitor to check if the issue is the panel or GPU; Step 2: Check display cable/flex connection inside the device; Step 3: Adjust brightness and refresh rate settings to rule out software glitches; Step 4: Update or roll back display drivers; Step 5: Replace the display panel/digitizer if hardware fault is confirmed.,7000,3.4
Laptop,Acer,93,8,Remote Worker,86,Storage Not Detected,Boot Failure,BIOS Error,High,SSD,Step 1: Back up all critical data immediately; Step 2: Check disk health using CrystalDiskInfo or manufacturer tool; Step 3: Update the SSD firmware and check SATA/NVMe cable connections; Step 4: Run CHKDSK or a disk repair utility to fix file system errors; Step 5: Replace the SSD if SMART status shows failing or bad sectors increase.,4800,2.6
Mobile,Samsung,66,9,Business,58,Bent Pins,No Connection Detected,Charging Stops,Low,Charging Port,"Step 1: Inspect the charging port for lint, dust, or debris and clean gently; Step 2: Check for bent or damaged pins inside the port; Step 3: Try a different cable to confirm port vs cable issue; Step 4: Wiggle test the cable while charging to detect loose connection; Step 5: Replace the charging port assembly if connection remains loose.",600,1.1
Mobile,Xiaomi,76,10,Content Creator,68,Cable Moves Loosely,Charging Stops,Slow Charging,Low,Charging Port,"Step 1: Inspect the charging port for lint, dust, or debris and clean gently; Step 2: Check for bent or damaged pins inside the port; Step 3: Try a different cable to confirm port vs cable issue; Step 4: Wiggle test the cable while charging to detect loose connection; Step 5: Replace the charging port assembly if connection remains loose.",1050,1.3
Mobile,Vivo,50,2,Developer,43,Crackling Sound,Media Playback Issue,Calls OK,Low,Speaker,Step 1: Check volume mixer and mute settings; Step 2: Update or reinstall audio drivers; Step 3: Test with headphones to isolate speaker hardware fault; Step 4: Clean speaker grille of dust/debris; Step 5: Replace the speaker unit if crackling/no sound persists.,450,1.3
Desktop,MSI,62,6,Developer,60,Application Crash,Memory Error,Slow Performance,Medium,RAM,"Step 1: Power off and reseat the RAM modules firmly in their slots; Step 2: Clean the RAM contacts gently with an eraser or contact cleaner; Step 3: Test each RAM stick individually in different slots to isolate the fault; Step 4: Run a memory diagnostic tool (e.g., Windows Memory Diagnostic / MemTest86); Step 5: Replace the faulty RAM module if errors persist.",1700,1.4
Laptop,Apple,61,3,Developer,57,Fast Battery Drain,Heating,Random Shutdown,High,Battery,"Step 1: Check battery health using built-in diagnostics (e.g., powercfg /batteryreport); Step 2: Inspect for physical swelling or deformation - stop use immediately if found; Step 3: Calibrate the battery with a full charge-discharge cycle; Step 4: Check background apps causing excess power draw; Step 5: Replace the battery if health is below 50% or swelling is present.",1650,2.3
Mobile,Realme,54,5,Normal,47,Bluetooth Not Pairing,WiFi Drops,Connectivity Error,Low,WiFi Bluetooth Module,Step 1: Toggle airplane mode on/off to reset radios; Step 2: Forget and re-pair the Bluetooth device / re-join WiFi network; Step 3: Update device software to latest version; Step 4: Reset network settings to factory defaults; Step 5: Replace the WiFi/Bluetooth combo module if issues persist after reset.,1750,1.8
Laptop,MSI,73,14,Remote Worker,64,Sudden Power Off,Battery Swelling,Heating,Medium,Battery,"Step 1: Check battery health using built-in diagnostics (e.g., powercfg /batteryreport); Step 2: Inspect for physical swelling or deformation - stop use immediately if found; Step 3: Calibrate the battery with a full charge-discharge cycle; Step 4: Check background apps causing excess power draw; Step 5: Replace the battery if health is below 50% or swelling is present.",3050,1.9
Laptop,Lenovo,27,5,Remote Worker,26,Ghost Typing,Multiple Key Press,Random Input,Medium,Keyboard,Step 1: Power off immediately if liquid spill is suspected; Step 2: Clean keys with compressed air and isopropyl alcohol; Step 3: Check for stuck debris under affected keys; Step 4: Test with an external USB keyboard to confirm internal fault; Step 5: Replace the keyboard module if keys remain unresponsive.,2650,1.6
Desktop,Lenovo,39,12,Developer,34,Poor Airflow,Fan Noise,Heating,Low,Case Fan,Step 1: Power off and open the case to inspect the fan; Step 2: Clean dust from the fan blades and grille; Step 3: Check fan cable connection to the motherboard/PSU; Step 4: Lubricate or replace bearings if rattling continues; Step 5: Replace the fan if it does not spin after cleaning.,350,1.1
Mobile,Google,52,10,Office,47,Touch Not Responding,Ghost Touch,Unresponsive Areas,Medium,Touch Screen Digitizer,Step 1: Clean the screen and remove any screen protector causing interference; Step 2: Restart the device to rule out a software freeze; Step 3: Test touch response in safe mode; Step 4: Check for physical screen damage near unresponsive areas; Step 5: Replace the touch digitizer if ghost touch continues after restart.,4250,1.6
Desktop,Asus,24,13,Student,15,Storage Not Detected,Boot Failure,BIOS Error,High,SSD,Step 1: Back up all critical data immediately; Step 2: Check disk health using CrystalDiskInfo or manufacturer tool; Step 3: Update the SSD firmware and check SATA/NVMe cable connections; Step 4: Run CHKDSK or a disk repair utility to fix file system errors; Step 5: Replace the SSD if SMART status shows failing or bad sectors increase.,5700,1.8
Laptop,Dell,44,6,Developer,43,Fast Battery Drain,Heating,Random Shutdown,High,Battery,"Step 1: Check battery health using built-in diagnostics (e.g., powercfg /batteryreport); Step 2: Inspect for physical swelling or deformation - stop use immediately if found; Step 3: Calibrate the battery with a full charge-discharge cycle; Step 4: Check background apps causing excess power draw; Step 5: Replace the battery if health is below 50% or swelling is present.",2350,2.1
Desktop,Acer,46,13,Content Creator,38,Slow Internet,Frequent Disconnect,Packet Loss,Medium,Network Card,Step 1: Update or reinstall the network adapter drivers; Step 2: Check physical cable/antenna connections; Step 3: Reseat the network card if it is a PCIe add-in card; Step 4: Run network troubleshooter and reset TCP/IP stack; Step 5: Replace the network card if it is not detected by the system.,1500,2.2
Mobile,Oppo,45,6,Developer,42,Slow WiFi,Bluetooth Disconnects,Signal Weak,Medium,WiFi Bluetooth Module,Step 1: Toggle airplane mode on/off to reset radios; Step 2: Forget and re-pair the Bluetooth device / re-join WiFi network; Step 3: Update device software to latest version; Step 4: Reset network settings to factory defaults; Step 5: Replace the WiFi/Bluetooth combo module if issues persist after reset.,1850,1.1
Mobile,Samsung,74,12,Office,66,Battery Drain,Low Backup,Not Charging,High,Battery,"Step 1: Check battery health using built-in diagnostics (e.g., powercfg /batteryreport); Step 2: Inspect for physical swelling or deformation - stop use immediately if found; Step 3: Calibrate the battery with a full charge-discharge cycle; Step 4: Check background apps causing excess power draw; Step 5: Replace the battery if health is below 50% or swelling is present.",2000,1.2
Mobile,Vivo,23,7,Remote Worker,15,Auto Brightness Fails,Sensor Not Responding,Display Glitch,Low,Proximity Sensor,Step 1: Remove any screen protector or case blocking the sensor; Step 2: Clean the sensor area near the top of the screen; Step 3: Test sensor calibration using a diagnostic app; Step 4: Restart the device to reset sensor drivers; Step 5: Replace the proximity sensor module if it remains unresponsive.,1250,1.3
Desktop,Custom Build,22,16,Content Creator,22,Application Crash,Memory Error,Slow Performance,Medium,RAM,"Step 1: Power off and reseat the RAM modules firmly in their slots; Step 2: Clean the RAM contacts gently with an eraser or contact cleaner; Step 3: Test each RAM stick individually in different slots to isolate the fault; Step 4: Run a memory diagnostic tool (e.g., Windows Memory Diagnostic / MemTest86); Step 5: Replace the faulty RAM module if errors persist.",850,1.0
Desktop,Asus,20,13,Office,17,Disk Not Detected,Boot Failure,BIOS Error,Medium,HDD,Step 1: Back up all data immediately when clicking/grinding noise is heard; Step 2: Check SMART status using CrystalDiskInfo; Step 3: Check and reseat the SATA power and data cables; Step 4: Run CHKDSK to scan for and attempt recovery of bad sectors; Step 5: Replace the HDD with an SSD if failure is confirmed.,1350,1.1
Mobile,Oppo,17,12,Content Creator,7,Speaker Buzzing,Low Bass,Distorted Output,Medium,Speaker,Step 1: Check volume mixer and mute settings; Step 2: Update or reinstall audio drivers; Step 3: Test with headphones to isolate speaker hardware fault; Step 4: Clean speaker grille of dust/debris; Step 5: Replace the speaker unit if crackling/no sound persists.,1550,1.4
Desktop,Lenovo,42,12,Gaming,37,No Display,Artifacts,System Running,High,GPU,"Step 1: Update or reinstall the latest GPU drivers; Step 2: Check for overheating using monitoring software (e.g., HWMonitor); Step 3: Reseat the GPU in the PCIe slot and check power connectors; Step 4: Test the GPU in another system or test another GPU in this system; Step 5: Send for repair/replacement if artifacts persist after a clean driver install.",2550,2.9
Laptop,HP,82,13,Remote Worker,77,No WiFi Signal,Frequent Disconnection,Slow Network,Medium,WiFi Module,Step 1: Update or reinstall the WiFi adapter drivers; Step 2: Check airplane mode and WiFi adapter is enabled; Step 3: Reseat the WiFi module/antenna cable if accessible; Step 4: Test connectivity near the router to rule out signal range; Step 5: Replace the WiFi module if it is not detected by the OS.,1850,1.2
Desktop,Asus,19,8,Student,14,Game Crashes,Visual Glitches,High GPU Temp,Medium,GPU,"Step 1: Update or reinstall the latest GPU drivers; Step 2: Check for overheating using monitoring software (e.g., HWMonitor); Step 3: Reseat the GPU in the PCIe slot and check power connectors; Step 4: Test the GPU in another system or test another GPU in this system; Step 5: Send for repair/replacement if artifacts persist after a clean driver install.",2450,2.6
Mobile,Xiaomi,25,8,Developer,22,No Network,SIM Not Detected,Signal Drop,Medium,SIM Card Reader,Step 1: Remove and reinsert the SIM card properly; Step 2: Clean the SIM contacts and tray; Step 3: Test the SIM in another phone to rule out SIM damage; Step 4: Check for carrier network outage in the area; Step 5: Replace the SIM tray/reader module if SIM is still not detected.,900,1.3
Laptop,Asus,22,11,Gaming,16,Thermal Throttling,Loud Fan,Heating,Medium,Cooling Fan,Step 1: Use compressed air to clean the fan vents and intake; Step 2: Open the back panel and clean dust from the fan and heatsink; Step 3: Check fan spin freely without obstruction; Step 4: Reapply thermal paste on CPU/GPU if overheating persists; Step 5: Replace the cooling fan if noise or shutdown continues after cleaning.,1450,2.2
Laptop,Dell,5,14,Content Creator,2,WiFi Not Detected,Driver Error,Limited Connectivity,Medium,WiFi Module,Step 1: Update or reinstall the WiFi adapter drivers; Step 2: Check airplane mode and WiFi adapter is enabled; Step 3: Reseat the WiFi module/antenna cable if accessible; Step 4: Test connectivity near the router to rule out signal range; Step 5: Replace the WiFi module if it is not detected by the OS.,1400,1.1
Mobile,Xiaomi,79,4,Normal,77,Muffled Audio,Low Mic Volume,Calls OK,High,Microphone,Step 1: Check microphone permissions for the affected app; Step 2: Remove any case or cover that may be blocking the mic; Step 3: Test microphone in voice recorder app vs call app; Step 4: Clean the microphone grille of dust/debris; Step 5: Replace the microphone module at a service center if issue persists.,1300,1.3
Laptop,MSI,36,12,Gaming,33,Touchpad Not Responding,Click Failure,Lag,Low,Trackpad,Step 1: Clean the trackpad surface with a microfiber cloth; Step 2: Update or reinstall the touchpad drivers; Step 3: Check touchpad settings for sensitivity issues; Step 4: Test with an external mouse to confirm internal fault; Step 5: Replace the trackpad module if erratic behavior continues.,1950,1.5
Laptop,Asus,7,1,Normal,1,High Temperature,Fan Slow,Random Shutdown,Low,Cooling Fan,Step 1: Use compressed air to clean the fan vents and intake; Step 2: Open the back panel and clean dust from the fan and heatsink; Step 3: Check fan spin freely without obstruction; Step 4: Reapply thermal paste on CPU/GPU if overheating persists; Step 5: Replace the cooling fan if noise or shutdown continues after cleaning.,950,1.8
Desktop,Asus,35,11,Office,32,Voltage Drop,Random Reboots,Burning Smell,High,PSU,Step 1: Check the wall socket and power cable for faults; Step 2: Perform a PSU paperclip test to confirm the fan spins; Step 3: Inspect for burning smell or bulging capacitors inside the PSU; Step 4: Test with a known-working PSU if available; Step 5: Replace the PSU with an adequate wattage unit if it fails the test.,2300,1.6
Mobile,Realme,36,5,Gaming,34,Intermittent Network,SIM Error,Call Drop,Medium,SIM Card Reader,Step 1: Remove and reinsert the SIM card properly; Step 2: Clean the SIM contacts and tray; Step 3: Test the SIM in another phone to rule out SIM damage; Step 4: Check for carrier network outage in the area; Step 5: Replace the SIM tray/reader module if SIM is still not detected.,1900,1.2
Mobile,Samsung,91,10,Remote Worker,82,Bent Pins,No Connection Detected,Charging Stops,High,Charging Port,"Step 1: Inspect the charging port for lint, dust, or debris and clean gently; Step 2: Check for bent or damaged pins inside the port; Step 3: Try a different cable to confirm port vs cable issue; Step 4: Wiggle test the cable while charging to detect loose connection; Step 5: Replace the charging port assembly if connection remains loose.",1400,1.3
Desktop,MSI,50,14,Business,42,Slow Internet,Frequent Disconnect,Packet Loss,Medium,Network Card,Step 1: Update or reinstall the network adapter drivers; Step 2: Check physical cable/antenna connections; Step 3: Reseat the network card if it is a PCIe add-in card; Step 4: Run network troubleshooter and reset TCP/IP stack; Step 5: Replace the network card if it is not detected by the system.,900,2.2
Mobile,Vivo,56,9,Business,49,Black Screen,Phone Vibrates,Calls Received,High,Display,Step 1: Connect to an external monitor to check if the issue is the panel or GPU; Step 2: Check display cable/flex connection inside the device; Step 3: Adjust brightness and refresh rate settings to rule out software glitches; Step 4: Update or roll back display drivers; Step 5: Replace the display panel/digitizer if hardware fault is confirmed.,2800,1.9
Laptop,Lenovo,23,12,Gaming,15,High Temperature,Fan Slow,Random Shutdown,High,Cooling Fan,Step 1: Use compressed air to clean the fan vents and intake; Step 2: Open the back panel and clean dust from the fan and heatsink; Step 3: Check fan spin freely without obstruction; Step 4: Reapply thermal paste on CPU/GPU if overheating persists; Step 5: Replace the cooling fan if noise or shutdown continues after cleaning.,500,1.5
Desktop,Lenovo,12,3,Business,6,Black Screen In Games,Fan Spinning Loud,Overheating,High,GPU,"Step 1: Update or reinstall the latest GPU drivers; Step 2: Check for overheating using monitoring software (e.g., HWMonitor); Step 3: Reseat the GPU in the PCIe slot and check power connectors; Step 4: Test the GPU in another system or test another GPU in this system; Step 5: Send for repair/replacement if artifacts persist after a clean driver install.",6450,3.5
Laptop,Lenovo,46,7,Student,38,Poor Backup,Battery Swelling,Heating,Medium,Battery,"Step 1: Check battery health using built-in diagnostics (e.g., powercfg /batteryreport); Step 2: Inspect for physical swelling or deformation - stop use immediately if found; Step 3: Calibrate the battery with a full charge-discharge cycle; Step 4: Check background apps causing excess power draw; Step 5: Replace the battery if health is below 50% or swelling is present.",1750,1.3
Mobile,Samsung,2,8,Business,1,Bluetooth Not Pairing,WiFi Drops,Connectivity Error,Medium,WiFi Bluetooth Module,Step 1: Toggle airplane mode on/off to reset radios; Step 2: Forget and re-pair the Bluetooth device / re-join WiFi network; Step 3: Update device software to latest version; Step 4: Reset network settings to factory defaults; Step 5: Replace the WiFi/Bluetooth combo module if issues persist after reset.,1100,2.4
Desktop,Acer,91,2,Office,90,Game Crashes,Visual Glitches,High GPU Temp,High,GPU,"Step 1: Update or reinstall the latest GPU drivers; Step 2: Check for overheating using monitoring software (e.g., HWMonitor); Step 3: Reseat the GPU in the PCIe slot and check power connectors; Step 4: Test the GPU in another system or test another GPU in this system; Step 5: Send for repair/replacement if artifacts persist after a clean driver install.",5350,1.1
Laptop,Lenovo,16,11,Business,15,Webcam Freeze,App Crash,No Video Feed,Low,Webcam,Step 1: Check camera privacy settings and app permissions; Step 2: Update or reinstall the webcam drivers; Step 3: Test the webcam in a different application; Step 4: Check the internal camera cable connection if accessible; Step 5: Replace the webcam module if not detected after driver reinstall.,1900,1.3
Mobile,Xiaomi,87,5,Remote Worker,87,Bent Pins,No Connection Detected,Charging Stops,Medium,Charging Port,"Step 1: Inspect the charging port for lint, dust, or debris and clean gently; Step 2: Check for bent or damaged pins inside the port; Step 3: Try a different cable to confirm port vs cable issue; Step 4: Wiggle test the cable while charging to detect loose connection; Step 5: Replace the charging port assembly if connection remains loose.",1600,1.2
Desktop,Acer,55,16,Office,47,Random Crashes,Blue Screen,Memory Warning,Medium,RAM,"Step 1: Power off and reseat the RAM modules firmly in their slots; Step 2: Clean the RAM contacts gently with an eraser or contact cleaner; Step 3: Test each RAM stick individually in different slots to isolate the fault; Step 4: Run a memory diagnostic tool (e.g., Windows Memory Diagnostic / MemTest86); Step 5: Replace the faulty RAM module if errors persist.",3900,1.4
Desktop,Asus,71,6,Office,68,Clicking Sound,No Power LED,Fails To Start,Medium,PSU,Step 1: Check the wall socket and power cable for faults; Step 2: Perform a PSU paperclip test to confirm the fan spins; Step 3: Inspect for burning smell or bulging capacitors inside the PSU; Step 4: Test with a known-working PSU if available; Step 5: Replace the PSU with an adequate wattage unit if it fails the test.,3950,1.1
