Device,Age_Months,Daily_Usage_Hours,Failure_After_Months,Usage_Type,Symptom1,Symptom2,Symptom3,Faulty_Component
Desktop,16,8,12,Office,Random Shutdown,No Power,Power Fluctuation,PSU
Laptop,62,13,58,Developer,Application Lag,Disk Warning,Slow Performance,SSD
Desktop,46,12,40,Business,Restart Issues,Power Failure,No Boot,PSU
Desktop,40,4,39,Business,Game Crashes,Visual Glitches,High GPU Temp,GPU
Laptop,20,14,20,Office,Charging Failure,Adapter Fault,Power Fluctuation,Charger
Mobile,78,13,71,Business,Distorted Audio,Low Volume,Calls OK,Speaker
Mobile,16,8,14,Business,Battery Drops Quickly,Overheating,Lagging,Battery
Mobile,53,7,52,Normal,Fast Battery Drain,Heating,Random Shutdown,Battery
Mobile,73,6,71,Gaming,Voice Not Reaching,Calls Connected,Speaker OK,Microphone
Mobile,76,15,68,Gaming,Charging Failure,Heating,Random Restart,Charging IC
Desktop,41,5,36,Office,Game Crashes,Visual Glitches,High GPU Temp,GPU
Mobile,36,15,29,Normal,Flickering Screen,Lines On Screen,Touch OK,Display
Desktop,22,3,15,Normal,Slow Startup,Disk Errors,Storage Not Detected,SSD
Mobile,39,12,39,Gaming,Loose Connection,Slow Charging,Intermittent Charging,Charging Port
Mobile,62,15,54,Normal,Not Charging,Cable OK,Battery OK,Charging IC
Desktop,70,13,67,Student,No Boot,Beep Code,Memory Error,RAM
Desktop,50,5,46,Normal,Overheating,Fan Not Spinning,Auto Shutdown,CPU Fan
Mobile,31,3,24,Gaming,No Display,Touch Working,Notifications Audible,Display
Mobile,24,10,23,Office,Recording Failure,Low Mic Volume,Calls Connected,Microphone
Laptop,57,5,56,Gaming,No Charge,Battery OK,Power Adapter Error,Charger
Desktop,79,2,79,Business,No Boot,Beep Code,Memory Error,RAM
Mobile,34,11,29,Office,Not Charging,Adapter OK,Cable OK,Charging Port
Laptop,15,15,8,Business,Slow Startup,Disk Errors,File Corruption,SSD
Mobile,63,9,59,Normal,Not Charging,Adapter OK,Cable OK,Charging Port
Laptop,35,15,30,Student,Screen Flicker,System Running,External Monitor OK,Display
Mobile,80,8,79,Business,Not Charging,Cable OK,Battery OK,Charging IC
Desktop,31,9,26,Student,Game Crashes,Visual Glitches,High GPU Temp,GPU
Laptop,33,14,28,Office,Screen Flicker,System Running,External Monitor OK,Display
Laptop,82,5,74,Gaming,Portable Use Failure,Battery Low,Charger OK,Battery
Mobile,64,4,61,Normal,Poor Backup,Battery Swelling,Heating,Battery
Desktop,78,13,77,Business,Random Shutdown,No Power,Power Fluctuation,PSU
Laptop,52,12,50,Student,Random Crashes,Blue Screen,Memory Warning,RAM
Desktop,12,6,9,Business,Screen Flicker,Driver Crashes,Artifacts,GPU
Mobile,76,11,68,Gaming,Loose Connection,Slow Charging,Intermittent Charging,Charging Port
Mobile,31,11,28,Gaming,Flickering Screen,Lines On Screen,Touch OK,Display
Desktop,65,2,58,Student,File Corruption,Boot Failure,Disk Warning,SSD
Desktop,41,4,35,Gaming,File Corruption,Boot Failure,Disk Warning,SSD
Mobile,83,8,75,Gaming,Poor Backup,Battery Swelling,Heating,Battery
Desktop,19,3,13,Gaming,No Display,Artifacts,System Running,GPU
Desktop,24,13,20,Business,POST Failure,Beep Sound,Power ON,RAM
Laptop,57,5,57,Student,Slow Startup,Disk Errors,File Corruption,SSD
Laptop,63,9,56,Developer,Rapid Discharge,Heating,Low Backup,Battery
Desktop,33,14,26,Developer,POST Failure,Beep Sound,Power ON,RAM
Desktop,55,6,54,Developer,System Off Suddenly,Burn Smell,Power Loss,PSU
Mobile,70,5,63,Student,Not Charging,Adapter OK,Cable OK,Charging Port
Desktop,40,3,36,Student,Random Shutdown,No Power,Power Fluctuation,PSU
Laptop,20,1,20,Gaming,High Temperature,Fan Slow,Random Shutdown,Cooling Fan
Mobile,69,11,66,Gaming,Loose Connection,Slow Charging,Intermittent Charging,Charging Port
Desktop,64,6,63,Office,Overheating,Fan Not Spinning,Auto Shutdown,CPU Fan
Laptop,52,16,45,Developer,Battery Drain,Low Backup,Not Charging,Battery
Mobile,68,12,68,Office,Not Charging,Cable OK,Battery OK,Charging IC
Laptop,18,1,14,Normal,Portable Use Failure,Battery Low,Charger OK,Battery
Mobile,40,15,38,Student,Not Charging,Cable OK,Battery OK,Charging IC
Mobile,63,8,63,Developer,Voice Breaks,Recorder Not Working,Calls Connected,Microphone
Desktop,69,16,68,Developer,Random Restart,Memory Warning,System Freeze,RAM
Desktop,79,7,71,Office,POST Failure,Beep Sound,Power ON,RAM
Mobile,22,8,17,Normal,Crackling Sound,Media Playback Issue,Calls OK,Speaker
Laptop,46,5,38,Gaming,High Temperature,Fan Slow,Random Shutdown,Cooling Fan
Desktop,61,16,55,Normal,No Boot,Beep Code,Memory Error,RAM
Mobile,20,8,18,Business,Recording Failure,Low Mic Volume,Calls Connected,Microphone
Desktop,58,9,50,Gaming,POST Failure,Beep Sound,Power ON,RAM
Laptop,31,12,28,Business,Boot Loop,Memory Error,Beep Code,RAM
Laptop,74,5,67,Business,Charging Failure,Adapter Fault,Power Fluctuation,Charger
Mobile,17,15,16,Business,Distorted Audio,Low Volume,Calls OK,Speaker
Laptop,19,2,17,Office,No Boot,Beep Sound,Power LED ON,RAM
Desktop,11,16,4,Normal,No Display,Artifacts,System Running,GPU
Laptop,39,15,32,Gaming,Charging Failure,Adapter Fault,Power Fluctuation,Charger
Desktop,16,6,8,Developer,File Corruption,Boot Failure,Disk Warning,SSD
Desktop,38,2,38,Office,Random Restart,Memory Warning,System Freeze,RAM
Mobile,35,14,27,Developer,No Charge,Adapter OK,Battery Healthy,Charging IC
Laptop,57,1,54,Developer,Portable Use Failure,Battery Low,Charger OK,Battery
Laptop,60,13,54,Student,Loose Adapter,Intermittent Charging,Battery OK,Charger
Laptop,36,12,29,Business,Thermal Throttling,Loud Fan,Heating,Cooling Fan
Desktop,50,15,49,Student,USB Failure,Random Freeze,No POST,Motherboard
Laptop,44,5,41,Office,High Temperature,Fan Slow,Random Shutdown,Cooling Fan
Laptop,53,10,47,Developer,No Boot,Beep Sound,Power LED ON,RAM
Laptop,36,15,35,Business,Rapid Discharge,Heating,Low Backup,Battery
Laptop,20,15,13,Normal,No Boot,Beep Sound,Power LED ON,RAM
Laptop,74,8,68,Developer,High Temperature,Fan Slow,Random Shutdown,Cooling Fan
Mobile,7,9,7,Office,Poor Backup,Battery Swelling,Heating,Battery
Mobile,17,14,14,Gaming,No Charge,Adapter OK,Battery Healthy,Charging IC
Mobile,27,10,20,Office,Battery Drops Quickly,Overheating,Lagging,Battery
Laptop,41,10,34,Business,Application Lag,Disk Warning,Slow Performance,SSD
Mobile,7,15,2,Student,Fast Battery Drain,Heating,Random Shutdown,Battery
Desktop,65,5,65,Developer,Long Loading Time,Disk Health Alert,Lagging,SSD
Laptop,63,9,56,Student,High Temperature,Fan Slow,Random Shutdown,Cooling Fan
Mobile,45,2,39,Business,Cable Moves Loosely,Charging Stops,Slow Charging,Charging Port
Laptop,36,8,32,Office,Thermal Throttling,Loud Fan,Heating,Cooling Fan
Desktop,20,13,16,Office,Restart Issues,Power Failure,No Boot,PSU
Mobile,77,7,71,Normal,Battery Drops Quickly,Overheating,Lagging,Battery
Desktop,12,14,6,Business,No Display,Artifacts,System Running,GPU
Mobile,68,8,60,Student,Distorted Audio,Low Volume,Calls OK,Speaker
Laptop,32,15,30,Gaming,Random Crashes,Blue Screen,Memory Warning,RAM
Mobile,28,4,21,Business,No Sound,Calls OK,Headphones Work,Speaker
Laptop,33,4,33,Student,No Charge,Battery OK,Power Adapter Error,Charger
Laptop,75,12,70,Office,Loose Adapter,Intermittent Charging,Battery OK,Charger
Mobile,78,16,74,Developer,No Sound,Calls OK,Headphones Work,Speaker
Mobile,74,13,72,Office,Crackling Sound,Media Playback Issue,Calls OK,Speaker
Desktop,58,5,50,Normal,Thermal Warning,Loud Noise,Heating,CPU Fan
Desktop,25,7,22,Normal,No POST,Power LED ON,No Boot,Motherboard
Mobile,81,16,79,Normal,Cable Moves Loosely,Charging Stops,Slow Charging,Charging Port
Desktop,16,4,12,Gaming,POST Failure,Beep Sound,Power ON,RAM
Desktop,25,12,25,Developer,Long Loading Time,Disk Health Alert,Lagging,SSD
Laptop,16,12,8,Normal,No Boot,Beep Sound,Power LED ON,RAM
Desktop,72,15,71,Developer,File Corruption,Boot Failure,Disk Warning,SSD
Laptop,20,9,13,Student,No Boot,Beep Sound,Power LED ON,RAM
Mobile,29,15,26,Business,Charging Failure,Heating,Random Restart,Charging IC
Laptop,65,11,61,Student,No Charge,Battery OK,Power Adapter Error,Charger
Laptop,76,14,72,Office,Loose Adapter,Intermittent Charging,Battery OK,Charger
Laptop,17,14,12,Developer,No Display,External Monitor Works,Power ON,Display
Laptop,35,4,35,Business,Application Lag,Disk Warning,Slow Performance,SSD
Desktop,53,5,51,Student,Random Restart,Memory Warning,System Freeze,RAM
Laptop,31,9,29,Office,Storage Not Detected,Boot Failure,BIOS Error,SSD
Desktop,80,4,75,Gaming,File Corruption,Boot Failure,Disk Warning,SSD
Mobile,16,1,14,Gaming,Charging Failure,Heating,Random Restart,Charging IC
Mobile,34,13,27,Developer,Black Screen,Phone Vibrates,Calls Received,Display
Desktop,45,10,45,Gaming,Random Shutdown,No Power,Power Fluctuation,PSU
Laptop,8,12,2,Student,High Temperature,Fan Slow,Random Shutdown,Cooling Fan
Mobile,46,5,39,Gaming,Not Charging,Cable OK,Battery OK,Charging IC
Desktop,45,10,41,Gaming,Screen Flicker,Driver Crashes,Artifacts,GPU
Desktop,14,12,7,Office,Random Restart,Memory Warning,System Freeze,RAM
Mobile,83,9,78,Developer,Crackling Sound,Media Playback Issue,Calls OK,Speaker
Mobile,30,11,26,Developer,Loose Connection,Slow Charging,Intermittent Charging,Charging Port
Laptop,60,3,55,Office,No Display,External Monitor Works,Power ON,Display
Laptop,72,5,70,Normal,Slow Startup,Disk Errors,File Corruption,SSD
Laptop,40,12,39,Normal,Lines On Screen,Display Lag,Power ON,Display
Desktop,60,15,59,Office,Game Crashes,Visual Glitches,High GPU Temp,GPU
Laptop,56,12,51,Gaming,Overheating,Fan Noise,Auto Shutdown,Cooling Fan
Mobile,74,4,69,Office,Charging Failure,Heating,Random Restart,Charging IC
Mobile,76,16,68,Student,Recording Failure,Low Mic Volume,Calls Connected,Microphone
Laptop,78,11,71,Normal,No Charge,Battery OK,Power Adapter Error,Charger
Mobile,29,1,28,Normal,Fast Battery Drain,Heating,Random Shutdown,Battery
Laptop,80,6,80,Normal,Slow Startup,Disk Errors,File Corruption,SSD
Laptop,44,15,43,Normal,Storage Not Detected,Boot Failure,BIOS Error,SSD
Laptop,63,12,55,Student,Screen Flicker,System Running,External Monitor OK,Display
Desktop,67,3,63,Developer,File Corruption,Boot Failure,Disk Warning,SSD
Desktop,8,8,3,Gaming,File Corruption,Boot Failure,Disk Warning,SSD
Mobile,40,16,37,Developer,Flickering Screen,Lines On Screen,Touch OK,Display
Desktop,50,14,50,Developer,No Display,Artifacts,System Running,GPU
Laptop,69,10,65,Student,Rapid Discharge,Heating,Low Backup,Battery
Mobile,81,10,80,Gaming,Recording Failure,Low Mic Volume,Calls Connected,Microphone
Desktop,40,16,33,Business,Random Shutdown,No Power,Power Fluctuation,PSU
Laptop,82,8,79,Gaming,High Temperature,Fan Slow,Random Shutdown,Cooling Fan
Desktop,8,4,3,Business,High Temperature,Fan Error,Shutdown,CPU Fan
Laptop,70,7,63,Gaming,Application Lag,Disk Warning,Slow Performance,SSD
Laptop,20,4,20,Student,Battery Drain,Low Backup,Not Charging,Battery
Mobile,31,6,27,Gaming,Fast Battery Drain,Heating,Random Shutdown,Battery
Mobile,62,4,60,Developer,Not Charging,Cable OK,Battery OK,Charging IC
Desktop,29,1,25,Student,Restart Issues,Power Failure,No Boot,PSU
Laptop,12,9,12,Developer,Application Lag,Disk Warning,Slow Performance,SSD
Laptop,70,12,69,Normal,Battery Drain,Low Backup,Not Charging,Battery
Desktop,48,13,41,Normal,Game Crashes,Visual Glitches,High GPU Temp,GPU
Desktop,15,4,8,Student,File Corruption,Boot Failure,Disk Warning,SSD
Mobile,24,9,23,Business,Cable Moves Loosely,Charging Stops,Slow Charging,Charging Port
Mobile,66,11,63,Developer,Black Screen,Phone Vibrates,Calls Received,Display
Desktop,65,16,59,Normal,Peripheral Failure,Boot Error,Power ON,Motherboard
Mobile,32,16,27,Gaming,Crackling Sound,Media Playback Issue,Calls OK,Speaker
Desktop,27,10,26,Business,USB Failure,Random Freeze,No POST,Motherboard
Desktop,35,11,35,Developer,Long Loading Time,Disk Health Alert,Lagging,SSD
Laptop,21,1,16,Business,Application Lag,Disk Warning,Slow Performance,SSD
Laptop,58,11,58,Developer,High Temperature,Fan Slow,Random Shutdown,Cooling Fan
Mobile,77,12,70,Gaming,Recording Failure,Low Mic Volume,Calls Connected,Microphone
Desktop,13,4,9,Office,High Temperature,Fan Error,Shutdown,CPU Fan
Desktop,46,10,43,Developer,Slow Startup,Disk Errors,Storage Not Detected,SSD
Desktop,6,12,2,Normal,Overheating,Fan Not Spinning,Auto Shutdown,CPU Fan
Desktop,70,8,69,Developer,Restart Issues,Power Failure,No Boot,PSU
Laptop,62,1,59,Gaming,Slow Startup,Disk Errors,File Corruption,SSD
Laptop,25,11,23,Normal,Thermal Throttling,Loud Fan,Heating,Cooling Fan
Desktop,6,16,4,Business,Game Crashes,Visual Glitches,High GPU Temp,GPU
Mobile,51,7,51,Office,Crackling Sound,Media Playback Issue,Calls OK,Speaker
Laptop,25,7,18,Business,Screen Flicker,System Running,External Monitor OK,Display
Desktop,20,15,13,Gaming,Thermal Warning,Loud Noise,Heating,CPU Fan
Mobile,26,2,23,Developer,Loose Connection,Slow Charging,Intermittent Charging,Charging Port
Desktop,84,2,78,Gaming,Long Loading Time,Disk Health Alert,Lagging,SSD
Desktop,66,4,58,Gaming,Game Crashes,Visual Glitches,High GPU Temp,GPU
Desktop,48,1,40,Office,High Temperature,Fan Error,Shutdown,CPU Fan
Laptop,11,8,4,Business,Rapid Discharge,Heating,Low Backup,Battery
Desktop,66,13,62,Developer,Random Restart,Memory Warning,System Freeze,RAM
Laptop,22,8,17,Normal,Storage Not Detected,Boot Failure,BIOS Error,SSD
Desktop,48,16,43,Office,Restart Issues,Power Failure,No Boot,PSU
Desktop,11,9,6,Business,Thermal Warning,Loud Noise,Heating,CPU Fan
Mobile,58,7,56,Normal,Not Charging,Adapter OK,Cable OK,Charging Port
Desktop,28,15,24,Office,Overheating,Fan Not Spinning,Auto Shutdown,CPU Fan
Laptop,76,4,71,Developer,Overheating,Fan Noise,Auto Shutdown,Cooling Fan
Desktop,71,10,71,Office,Game Crashes,Visual Glitches,High GPU Temp,GPU
Desktop,58,14,55,Normal,Long Loading Time,Disk Health Alert,Lagging,SSD
Laptop,64,4,62,Office,No Charge,Battery OK,Power Adapter Error,Charger
Laptop,19,16,13,Student,Storage Not Detected,Boot Failure,BIOS Error,SSD
Desktop,29,11,21,Normal,Long Loading Time,Disk Health Alert,Lagging,SSD
Laptop,33,1,33,Gaming,Rapid Discharge,Heating,Low Backup,Battery
Laptop,39,1,36,Student,Charging Failure,Adapter Fault,Power Fluctuation,Charger
Mobile,6,10,1,Developer,Distorted Audio,Low Volume,Calls OK,Speaker
Laptop,45,11,41,Normal,Charging Failure,Adapter Fault,Power Fluctuation,Charger
Laptop,32,3,28,Normal,No Display,External Monitor Works,Power ON,Display
Laptop,82,14,77,Gaming,No Display,External Monitor Works,Power ON,Display
Mobile,41,10,40,Developer,Loose Connection,Slow Charging,Intermittent Charging,Charging Port
Desktop,33,15,30,Gaming,POST Failure,Beep Sound,Power ON,RAM
Laptop,39,15,33,Student,High Temperature,Fan Slow,Random Shutdown,Cooling Fan
Laptop,52,15,51,Normal,Storage Not Detected,Boot Failure,BIOS Error,SSD
Laptop,27,15,27,Student,No Boot,Beep Sound,Power LED ON,RAM
Laptop,70,12,62,Student,Loose Adapter,Intermittent Charging,Battery OK,Charger
Mobile,28,13,20,Gaming,Poor Backup,Battery Swelling,Heating,Battery
Desktop,71,11,68,Developer,Restart Issues,Power Failure,No Boot,PSU
Laptop,72,4,68,Normal,Rapid Discharge,Heating,Low Backup,Battery
Desktop,6,13,1,Student,USB Failure,Random Freeze,No POST,Motherboard
Laptop,68,2,61,Developer,Lines On Screen,Display Lag,Power ON,Display
Laptop,10,13,4,Business,Portable Use Failure,Battery Low,Charger OK,Battery
Laptop,29,12,26,Gaming,Portable Use Failure,Battery Low,Charger OK,Battery
Laptop,27,12,23,Normal,No Boot,Beep Sound,Power LED ON,RAM
Laptop,7,3,4,Gaming,Random Crashes,Blue Screen,Memory Warning,RAM
Laptop,56,14,52,Normal,Storage Not Detected,Boot Failure,BIOS Error,SSD
Desktop,83,4,79,Gaming,No POST,Power LED ON,No Boot,Motherboard
Laptop,30,13,26,Developer,Application Lag,Disk Warning,Slow Performance,SSD
Laptop,37,15,34,Student,No Boot,Beep Sound,Power LED ON,RAM
Desktop,16,5,11,Student,Random Restart,Memory Warning,System Freeze,RAM
Laptop,71,14,66,Normal,Thermal Throttling,Loud Fan,Heating,Cooling Fan
Mobile,80,16,78,Normal,Fast Battery Drain,Heating,Random Shutdown,Battery
Laptop,34,3,28,Office,Loose Adapter,Intermittent Charging,Battery OK,Charger
Desktop,67,6,67,Business,Slow Startup,Disk Errors,Storage Not Detected,SSD
Desktop,53,6,50,Normal,Thermal Warning,Loud Noise,Heating,CPU Fan
Desktop,27,12,21,Office,System Off Suddenly,Burn Smell,Power Loss,PSU
Mobile,27,1,19,Office,Black Screen,Phone Vibrates,Calls Received,Display
Laptop,48,16,48,Student,Slow Startup,Disk Errors,File Corruption,SSD
Desktop,75,3,71,Business,No POST,Power LED ON,No Boot,Motherboard
Laptop,38,10,35,Student,Loose Adapter,Intermittent Charging,Battery OK,Charger
Mobile,21,12,15,Developer,Fast Battery Drain,Heating,Random Shutdown,Battery
Desktop,11,10,9,Business,Game Crashes,Visual Glitches,High GPU Temp,GPU
Mobile,50,15,48,Normal,No Display,Touch Working,Notifications Audible,Display
Laptop,80,3,75,Office,Screen Flicker,System Running,External Monitor OK,Display
Laptop,82,11,76,Gaming,Overheating,Fan Noise,Auto Shutdown,Cooling Fan
Desktop,28,5,21,Office,Screen Flicker,Driver Crashes,Artifacts,GPU
Laptop,47,14,45,Gaming,Charging Failure,Adapter Fault,Power Fluctuation,Charger
Mobile,74,3,67,Office,Charging Failure,Heating,Random Restart,Charging IC
Laptop,54,15,49,Normal,No Boot,Beep Sound,Power LED ON,RAM
Mobile,11,12,9,Student,Voice Breaks,Recorder Not Working,Calls Connected,Microphone
Desktop,69,3,68,Business,USB Failure,Random Freeze,No POST,Motherboard
Mobile,21,2,15,Office,No Sound,Calls OK,Headphones Work,Speaker
Desktop,24,15,17,Gaming,No Boot,Beep Code,Memory Error,RAM
Desktop,22,10,14,Office,Thermal Warning,Loud Noise,Heating,CPU Fan
Laptop,35,9,33,Gaming,Thermal Throttling,Loud Fan,Heating,Cooling Fan
Mobile,60,10,57,Student,Charging Failure,Heating,Random Restart,Charging IC
Mobile,38,3,30,Developer,Voice Not Reaching,Calls Connected,Speaker OK,Microphone
Mobile,76,7,71,Office,Not Charging,Adapter OK,Cable OK,Charging Port
Laptop,61,10,55,Office,Screen Flicker,System Running,External Monitor OK,Display
Mobile,76,9,71,Gaming,Battery Drops Quickly,Overheating,Lagging,Battery
Desktop,37,9,32,Office,Overheating,Fan Not Spinning,Auto Shutdown,CPU Fan
Mobile,82,9,81,Student,Flickering Screen,Lines On Screen,Touch OK,Display
Laptop,48,11,43,Business,Overheating,Fan Noise,Auto Shutdown,Cooling Fan
Laptop,64,5,58,Office,Application Lag,Disk Warning,Slow Performance,SSD
Mobile,14,5,12,Student,Not Charging,Adapter OK,Cable OK,Charging Port
Mobile,32,7,25,Student,No Sound,Calls OK,Headphones Work,Speaker
Desktop,68,2,64,Developer,Peripheral Failure,Boot Error,Power ON,Motherboard
