Device,Brand,Model,OS,Age_Months,Daily_Usage_Hours,Failure_After_Months,Usage_Type,Season,RAM_GB,Storage_GB,Battery_%_At_Failure,Warranty_Status,Previous_Repairs,Symptom1,Symptom2,Symptom3,Faulty_Component,Severity,Repair_Cost_INR,Repair_Time_Days,Solution
Desktop,Lenovo,ThinkCentre Neo 50s,Windows 10 Pro,70,14,60,Normal,Autumn,128,1024,0,Expired,4,System Off Suddenly,Burn Smell,Power Loss,PSU,Critical,5372,1,Replace Power Supply Unit immediately. Do not use until replaced — fire risk.
Mobile,Google,Pixel 6 Pro,Android 13,41,4,23,Healthcare,Summer,12,512,32,Expired,4,Poor Backup,Heating While Charging,Battery Percentage Jumping,Battery,Medium,1594,3,"Recalibrate battery. If issue persists, replace battery."
Smartwatch,Fitbit,Inspire 3,RTOS,70,14,64,Office,Monsoon,1,4,41,Under Warranty,3,Not Charging,Loose Charger,Wireless Charging Failure,Charging Port,Medium,1009,2,Clean charging contacts. Try different charger. Replace charging module.
Mobile,Realme,GT 5 Pro,iOS 16,37,13,32,Education,Monsoon,6,128,86,Extended Warranty,3,Face ID Not Working,Cannot Setup Face ID,Recognition Failure,Face ID Sensor,Medium,3726,3,Recalibrate Face ID. Replace face recognition module if hardware fault.
Smart TV,Hisense,A6H,WebOS 22,1,3,1,Business,Winter,4,32,0,Under Warranty,4,Remote Not Working,Slow Response,IR Not Detected,Remote Sensor,Low,1461,2,Replace remote batteries. Try universal remote. Replace IR sensor if faulty.
Smartwatch,Garmin,Fenix 7X Solar,Wear OS 4,84,15,69,Gaming,Summer,1,4,17,Extended Warranty,1,Call Audio Not Clear,Voice Assistant Not Working,Mic Not Detected,Microphone,Low,1124,4,Clean microphone opening. Replace microphone module.
Laptop,Microsoft,Surface Laptop 5,Linux Mint,13,11,7,Education,Monsoon,64,1024,27,Expired,1,No Audio,Distorted Sound,One Speaker Dead,Speaker,Low,1534,1,Update audio drivers. Check audio settings. Replace speaker unit.
Laptop,Microsoft,Surface Laptop 5,Windows 11 Pro,78,15,68,Office,Spring,8,256,94,Under Warranty,0,Hinge Broken,Lid Not Closing,Hinge Cracking,Hinge,Medium,3753,2,Replace laptop hinge. Physical repair at service center.
Mobile,Samsung,Galaxy F54,Android 14,12,7,3,Education,Winter,8,128,9,Expired,1,Voice Breaks,Recorder Not Working,Calls Connected,Microphone,Medium,1457,2,Clean microphone. Replace microphone module if issue persists.
Smart TV,Sony,Bravia XR A95L OLED,Fire TV,76,5,75,Office,Monsoon,4,16,0,Under Warranty,4,HDMI Not Working,No Signal From Console,HDMI Port Loose,HDMI Port,Medium,1605,1,Try different HDMI cable. Test different port. Replace HDMI port if damaged.
Smartwatch,Fitbit,Luxe,WatchOS 10,36,15,34,Normal,Autumn,1,16,88,Expired,1,Fast Battery Drain,Not Charging,Battery Percentage Dropping Fast,Battery,High,3862,3,Calibrate battery. Reduce AOD and GPS usage. Replace battery if capacity below 70%.
Router,Mi,Router 4A Gigabit,OpenWRT,49,1,48,Normal,Summer,0,0,0,Under Warranty,3,Router Hot To Touch,Randomly Disconnecting,Slow After Running Long,Overheating,Medium,950,1,Improve ventilation. Place router in open area. Consider adding heatsink.
Mobile,Motorola,G54,iOS 16,76,10,72,Healthcare,Monsoon,8,256,23,Under Warranty,2,Low Volume,Distorted Audio,Crackling Sound,Speaker,Low,1924,1,Clean speaker. Update audio drivers. Replace if faulty.
Smart TV,Samsung,QLED Q80C,WebOS 22,78,4,65,Developer,Winter,2,32,0,Expired,0,Remote Not Working,Slow Response,IR Not Detected,Remote Sensor,Low,1895,2,Replace remote batteries. Try universal remote. Replace IR sensor if faulty.
Router,TP-Link,Deco XE200,RouterOS,45,12,41,Developer,Spring,0,0,0,Under Warranty,1,Unequal Bandwidth,Gaming Lag,Video Buffering Despite Fast Speed,QoS Module,Low,395,1,Enable QoS in router settings. Prioritize gaming/streaming traffic.
Desktop,Asus,ProArt PA90,Windows 10 Pro,16,5,7,Office,Summer,128,512,0,Extended Warranty,1,No Internet,LAN Not Detected,Slow Network,Network Card,Medium,1124,2,Update NIC drivers. Replace network card if faulty.
Smart TV,MI,P1 Pro,Tizen 6.5,35,3,18,Education,Monsoon,1,32,0,Expired,4,HDMI Not Working,No Signal From Console,HDMI Port Loose,HDMI Port,Medium,1747,2,Try different HDMI cable. Test different port. Replace HDMI port if damaged.
Router,TP-Link,Archer AXE300,DD-WRT,72,10,60,Healthcare,Winter,0,0,0,Under Warranty,1,USB Storage Not Detected,Printer Sharing Fails,NAS Not Working,USB Port,Low,1393,5,Reformat USB drive to FAT32/NTFS. Update router firmware. Replace USB port.
Mobile,Samsung,Galaxy F54,iOS 17,56,8,53,Gaming,Monsoon,6,1024,5,Under Warranty,3,Blurry Photos,Camera App Crash,Black Screen In Camera,Camera,Medium,7853,3,"Clear camera cache. If issue persists, replace camera module."
Laptop,HP,Pavilion 15,Linux Mint,16,9,1,Healthcare,Spring,64,256,27,Expired,0,Battery Not Charging To 100%,Charging Slowly,Battery Percentage Inaccurate,Battery,Low,5162,2,Calibrate battery. Update power management drivers. Replace if capacity below 50%.
Mobile,Samsung,Galaxy A34,iOS 16,57,12,40,Normal,Autumn,6,1024,70,Expired,3,Bluetooth Not Connecting,Drops Connection,Cannot Pair,Bluetooth Module,Low,968,5,Toggle Bluetooth off/on. Clear paired devices. Factory reset if issue persists.
Printer,Canon,PIXMA TR8620,macOS Sonoma,80,10,62,Healthcare,Monsoon,0,0,0,Expired,3,Paper Jam,Paper Not Feeding,Multiple Pages Feed,Paper Feed Roller,Medium,823,2,Clean rollers with damp cloth. Replace feed rollers if worn out.
Mobile,Motorola,Edge 40,iOS 16,84,10,72,Student,Autumn,8,128,13,Extended Warranty,4,Green Tint,Dead Pixels,Burn In,Display,Medium,12600,2,Replace display panel. Burn-in not covered under warranty.
Printer,Samsung,Xpress M2070W,Windows 11,25,7,14,Business,Winter,0,0,0,Under Warranty,0,No Print Output,Blank Pages,Horizontal Lines On Print,Printhead,High,3723,3,"Run automated printhead cleaning. If issue persists, replace printhead."
Laptop,MSI,Prestige 16,Ubuntu 22.04,61,2,51,Office,Winter,64,2048,16,Extended Warranty,0,Hinge Broken,Lid Not Closing,Hinge Cracking,Hinge,Medium,3786,2,Replace laptop hinge. Physical repair at service center.
Desktop,HP,Pavilion TP01,Windows 11 Pro,81,1,76,Developer,Autumn,8,4096,0,Extended Warranty,4,System Shutdown Under Load,Thermal Throttling,High All-Core Temp,Cooling System,High,993,1,Clean entire cooling system. Add case fans. Repaste CPU and GPU.
Laptop,HP,ZBook Fury 16,Linux Mint,8,5,3,Business,Autumn,16,512,64,Extended Warranty,3,Cracked Screen,Dead Pixels,No Display,Display,High,7801,3,Replace laptop display panel. Physical damage not covered under warranty.
Router,D-Link,DIR-X1860,DD-WRT,67,8,66,Gaming,Winter,0,0,0,Expired,1,Unequal Bandwidth,Gaming Lag,Video Buffering Despite Fast Speed,QoS Module,Low,344,1,Enable QoS in router settings. Prioritize gaming/streaming traffic.
Mobile,Nothing,Phone 2,iOS 16,55,7,53,Office,Monsoon,12,64,65,Extended Warranty,3,Blurry Photos,Camera App Crash,Black Screen In Camera,Camera,Medium,5923,2,"Clear camera cache. If issue persists, replace camera module."
Mobile,Xiaomi,12 Pro,Android 13,79,12,76,Education,Autumn,4,128,42,Under Warranty,2,Slow Charging,Charging Stops,Port Damaged,Charging Port,Medium,947,2,Replace charging port module.
Router,Mi,Router 4C,RouterOS,77,12,62,Gaming,Winter,0,0,0,Expired,4,No Wired Connection,Port Not Detected,Slow LAN Speed,LAN Port,Medium,1879,2,Check ethernet cable. Try different LAN port. Replace router if multiple ports fail.
Mobile,Vivo,X100,iOS 15,21,14,12,Education,Autumn,12,512,75,Extended Warranty,0,Camera Not Opening,Autofocus Failure,Photos Not Saving,Camera,Medium,4931,4,Clear app data. Factory reset. Replace camera if hardware issue.
Tablet,Amazon,Fire 7,Android 14,74,10,59,Developer,Autumn,12,64,84,Under Warranty,4,Cracked Screen,Touch Not Working,Display Flickering,Display,High,9592,5,Replace display and digitizer assembly.
Mobile,Apple,iPhone 14,Android 12,38,13,30,Normal,Winter,8,128,10,Extended Warranty,3,Camera Not Opening,Autofocus Failure,Photos Not Saving,Camera,Medium,7765,3,Clear app data. Factory reset. Replace camera if hardware issue.
Laptop,HP,Omen 17,Windows 11 Pro,37,2,21,Normal,Autumn,32,256,82,Expired,2,Storage Not Detected,Boot Failure,BIOS Error,SSD,High,8962,2,Check SATA/NVMe connection. Replace SSD. Reinstall OS.
Mobile,Vivo,Y36,Android 13,70,2,61,Education,Autumn,4,128,33,Extended Warranty,0,Not Recognizing,Slow Response,Sensor Not Working,Fingerprint Sensor,Low,816,3,Clean sensor. Re-register fingerprints. Replace sensor if faulty.
Mobile,Oppo,A98,Android 12,35,2,21,Education,Spring,4,128,5,Under Warranty,4,Cracked Screen,Touch Not Working,Display Broken,Display,High,7818,1,Replace display + digitizer assembly.
Mobile,Google,Pixel 7 Pro,Android 14,32,16,24,Developer,Winter,6,256,79,Under Warranty,4,Low Volume,Distorted Audio,Crackling Sound,Speaker,Low,735,1,Clean speaker. Update audio drivers. Replace if faulty.
Smartwatch,Amazfit,GTR 4,Fitbit OS 6,47,14,35,Business,Autumn,2,8,69,Extended Warranty,1,Cracked Screen,Display Not On,Touch Not Working,Display,High,7667,5,Replace AMOLED display. Use manufacturer service to maintain water resistance.
Tablet,Xiaomi,Redmi Pad Pro,Fire OS 8,15,16,4,Developer,Autumn,16,1024,21,Under Warranty,1,Home Button Not Working,Touch ID Failure,Button Stuck,Home Button,Low,1265,2,Recalibrate Touch ID. Replace home button assembly.
Tablet,Lenovo,Tab M10 Plus Gen 3,Android 13,78,12,71,Developer,Winter,3,64,43,Extended Warranty,4,Home Button Not Working,Touch ID Failure,Button Stuck,Home Button,Low,1708,3,Recalibrate Touch ID. Replace home button assembly.
Printer,Canon,PIXMA TR8620,Windows 10,5,1,1,Content Creator,Monsoon,0,0,0,Under Warranty,3,Faded Print,Streaky Output,Color Missing,Ink Cartridge,Low,2016,1,Replace or refill ink cartridges. Run printhead cleaning cycle.
Mobile,OnePlus,Nord CE 3,iOS 17,28,14,24,Healthcare,Spring,4,128,35,Extended Warranty,1,Not Charging,Adapter OK,Battery Healthy,Charging IC,High,2773,3,Replace Charging IC chip — requires motherboard-level repair.
Mobile,Xiaomi,POCO M5,iOS 17,9,6,1,Business,Spring,12,512,62,Expired,3,No Network,SIM Not Detected,Network Dropping,SIM Card Slot,Medium,751,2,Clean SIM slot. Try different SIM. Replace SIM tray if bent.
Mobile,Xiaomi,POCO M5,iOS 17,45,4,39,Gaming,Monsoon,6,1024,53,Under Warranty,2,No Network,SIM Not Detected,Network Dropping,SIM Card Slot,Medium,1435,2,Clean SIM slot. Try different SIM. Replace SIM tray if bent.
Router,Mi,Router 4C,Stock Firmware,10,9,4,Office,Winter,0,0,0,Under Warranty,1,Router Hot To Touch,Randomly Disconnecting,Slow After Running Long,Overheating,Medium,654,1,Improve ventilation. Place router in open area. Consider adding heatsink.
Mobile,Vivo,T2 Pro,iOS 17,20,14,18,Developer,Monsoon,12,256,72,Extended Warranty,4,Poor Backup,Heating While Charging,Battery Percentage Jumping,Battery,Medium,2821,3,"Recalibrate battery. If issue persists, replace battery."
Desktop,Acer,Predator Orion 7000,Fedora 38,31,5,25,Healthcare,Summer,32,256,0,Under Warranty,3,Thermal Warning,Loud Noise,CPU Overheating,CPU Fan,High,1487,1,Clean CPU fan and heatsink. Replace thermal paste. Replace fan if noisy.
Laptop,Microsoft,Surface Laptop Studio 2,macOS Sonoma,25,11,8,Healthcare,Autumn,64,256,74,Expired,1,No Audio,Distorted Sound,One Speaker Dead,Speaker,Low,1257,2,Update audio drivers. Check audio settings. Replace speaker unit.
Laptop,Lenovo,Legion 7i,macOS Ventura,77,13,75,Developer,Winter,64,512,54,Expired,4,No POST,USB Failure,Random Freeze,Motherboard,Critical,16259,11,Motherboard-level repair required. Consult authorized technician immediately.
Mobile,Realme,GT 5 Pro,Android 13,52,3,36,Normal,Spring,4,64,19,Extended Warranty,1,Slow Charging,Charging Stops,Port Damaged,Charging Port,Medium,1506,2,Replace charging port module.
Smartwatch,Noise,ColorFit Pro 4,Wear OS 3,62,9,49,Business,Spring,1,4,79,Extended Warranty,3,Fast Battery Drain,Not Charging,Battery Percentage Dropping Fast,Battery,High,1463,3,Calibrate battery. Reduce AOD and GPS usage. Replace battery if capacity below 70%.
Printer,Xerox,WorkCentre 6515,macOS Ventura,19,12,6,Student,Summer,0,0,0,Expired,3,Smudged Print,Toner Not Sticking,Burning Smell From Printer,Fuser Unit,High,5668,5,Allow printer to cool. Replace fuser unit. Only for laser printers.
Desktop,Custom Build,AMD Ryzen 7 7700X Build,Windows 11 Pro,50,16,43,Education,Winter,128,256,0,Under Warranty,1,Game Crashes,Visual Glitches,High GPU Temp,GPU,High,13992,2,Clean GPU fan. Repaste GPU. Update drivers. Replace GPU if artifacts persist.
Mobile,Oppo,A38,Android 13,55,7,37,Developer,Autumn,6,128,73,Extended Warranty,2,Face ID Not Working,Cannot Setup Face ID,Recognition Failure,Face ID Sensor,Medium,3672,4,Recalibrate Face ID. Replace face recognition module if hardware fault.
Smartwatch,boAt,Cosmos X3,WatchOS 9,50,1,46,Gaming,Summer,1,16,79,Extended Warranty,3,No Haptic Feedback,Weak Vibration,Notification Not Felt,Vibration Motor,Low,866,3,Check haptic settings. Replace vibration motor module.
Desktop,Dell,XPS 8960,Windows 11 Pro,60,10,46,Developer,Spring,16,256,0,Under Warranty,2,PC Not Starting,Power Button Stuck,Intermittent Power,Power Button,Low,251,1,Check front panel connectors. Replace power button if faulty.
Mobile,Apple,iPhone 14 Pro Max,Android 14,72,14,58,Education,Spring,6,128,12,Expired,2,Poor Backup,Heating While Charging,Battery Percentage Jumping,Battery,Medium,2698,2,"Recalibrate battery. If issue persists, replace battery."
Mobile,Vivo,Y36,iOS 16,39,14,21,Office,Summer,8,512,95,Under Warranty,1,Flickering Screen,Lines On Screen,Touch OK,Display,High,12684,2,Replace AMOLED display panel. Use original parts for best quality.
Mobile,Xiaomi,Redmi 12,iOS 16,52,8,39,Developer,Summer,12,64,33,Under Warranty,2,Face ID Not Working,Cannot Setup Face ID,Recognition Failure,Face ID Sensor,Medium,2113,4,Recalibrate Face ID. Replace face recognition module if hardware fault.
Printer,Brother,HL-L3270CDW,Windows 11,83,7,82,Office,Winter,0,0,0,Extended Warranty,3,Printer Not Starting,Error Code On Display,All Lights Blinking,Main Board,Critical,7746,5,Factory reset. Flash firmware. Replace main board if reset fails.
Mobile,Realme,Narzo 60 Pro,Android 12,66,10,60,Business,Monsoon,4,256,7,Expired,4,Slow Charging,Gets Hot While Charging,Charger Gets Hot,Charging IC,High,4522,3,"Try original charger. If issue persists, replace Charging IC."
Tablet,Apple,iPad Air 13 M2,iPadOS 17,71,1,66,Education,Spring,16,128,60,Expired,0,Dead Pixels,Yellow Tint,Backlight Bleeding,Display,Medium,7468,3,Replace display panel. Check under warranty first.
Printer,Canon,MAXIFY GX7020,macOS Ventura,59,8,53,Healthcare,Autumn,0,0,0,Extended Warranty,1,Document Feeder Jam,Skewed Scan,ADF Not Pulling Paper,ADF Unit,Medium,2580,4,Clean ADF rollers. Replace ADF unit if physically damaged.
Smart TV,Samsung,The Frame LS03B,Google TV,54,12,42,Education,Summer,1,16,0,Under Warranty,2,TV Not Turning On,Stuck On Logo,HDMI Not Working,Main Board,Critical,12683,4,Replace main/motherboard. Visit service center.
Printer,Canon,PIXMA MG3620,macOS Sonoma,8,4,6,Education,Monsoon,0,0,0,Expired,2,Light Print,Toner Low Warning,Streaks On Print,Toner Cartridge,Low,4455,1,Shake toner cartridge gently. Replace if empty.
Router,D-Link,DIR-X1860,Stock Firmware,36,4,23,Business,Autumn,0,0,0,Extended Warranty,0,No Wired Connection,Port Not Detected,Slow LAN Speed,LAN Port,Medium,2800,3,Check ethernet cable. Try different LAN port. Replace router if multiple ports fail.
Mobile,Apple,iPhone 15,iOS 15,59,16,54,Content Creator,Spring,4,512,7,Extended Warranty,0,WiFi Dropping,Slow WiFi,Cannot Connect,WiFi Module,Medium,2089,3,Forget network and reconnect. Update firmware. Replace WiFi module if issue persists.
Smartwatch,Garmin,Forerunner 965,Fitbit OS 6,38,14,33,Developer,Summer,2,8,34,Extended Warranty,1,Fast Battery Drain,Not Charging,Battery Percentage Dropping Fast,Battery,High,1340,3,Calibrate battery. Reduce AOD and GPS usage. Replace battery if capacity below 70%.
Laptop,HP,EliteBook 840 G10,Windows 10,28,7,15,Content Creator,Summer,16,2048,37,Expired,2,Poor Backup,Battery Swelling,Heating,Battery,Medium,3911,1,Replace laptop battery. Use only manufacturer-approved battery.
Mobile,Xiaomi,14,Android 13,31,1,26,Business,Summer,8,64,13,Expired,1,Loose Connection,Intermittent Charging,Cable Moves Loosely,Charging Port,Medium,684,1,"Clean charging port with compressed air. If issue persists, replace port."
Printer,Epson,SureColor P700,Windows 11,18,2,12,Office,Summer,0,0,0,Extended Warranty,0,Paper Jam,Paper Not Feeding,Multiple Pages Feed,Paper Feed Roller,Medium,2533,1,Clean rollers with damp cloth. Replace feed rollers if worn out.
Desktop,Acer,Predator Orion 7000,Ubuntu 22.04,19,11,17,Content Creator,Winter,16,256,0,Extended Warranty,0,No POST,System Not Starting,CPU Fan Spinning But No Display,CPU,Critical,25650,4,Reseat CPU. Check for bent pins. Replace CPU if damaged.
Mobile,Motorola,Edge 50 Pro,iOS 17,17,2,6,Office,Winter,8,512,18,Under Warranty,3,Low Volume,Distorted Audio,Crackling Sound,Speaker,Low,663,2,Clean speaker. Update audio drivers. Replace if faulty.
Printer,HP,LaserJet MFP M428fdw,macOS Ventura,33,2,21,Business,Winter,0,0,0,Extended Warranty,3,Light Print,Toner Low Warning,Streaks On Print,Toner Cartridge,Low,4167,1,Shake toner cartridge gently. Replace if empty.
Mobile,Apple,iPhone SE 3rd Gen,iOS 15,62,9,44,Healthcare,Autumn,4,512,30,Expired,4,Poor Backup,Heating While Charging,Battery Percentage Jumping,Battery,Medium,3499,3,"Recalibrate battery. If issue persists, replace battery."
Mobile,Oppo,Find X7,Android 14,36,7,32,Healthcare,Monsoon,16,128,17,Under Warranty,4,No Network,SIM Not Detected,Network Dropping,SIM Card Slot,Medium,1325,1,Clean SIM slot. Try different SIM. Replace SIM tray if bent.
Router,Asus,RT-AXE7800,DD-WRT,31,4,23,Business,Summer,0,0,0,Under Warranty,3,Weak WiFi Signal,Dead Zones,Slow Speed,WiFi Antenna,High,863,1,Reposition router to central location. Upgrade to WiFi extender or mesh system.
Printer,Xerox,C235 Color,Windows 10,64,3,51,Normal,Summer,0,0,0,Under Warranty,3,Smudged Print,Toner Not Sticking,Burning Smell From Printer,Fuser Unit,High,7233,3,Allow printer to cool. Replace fuser unit. Only for laser printers.
Desktop,Lenovo,Legion Tower 7i,Windows 10 Pro,74,4,68,Student,Summer,32,512,0,Under Warranty,1,No Internet,LAN Not Detected,Slow Network,Network Card,Medium,845,1,Update NIC drivers. Replace network card if faulty.
Laptop,Asus,ROG Zephyrus G14,Windows 11 Pro,66,2,61,Developer,Autumn,64,1024,11,Extended Warranty,3,Overheating,Fan Noise,Auto Shutdown,Cooling Fan,High,1745,2,Clean dust from fan/heatsink. Replace thermal paste. Replace fan if faulty.
Smart TV,Hisense,A7H,WebOS 23,10,9,1,Developer,Spring,4,16,0,Extended Warranty,0,No Sound,Distorted Audio,One Speaker Dead,Speaker,Medium,1613,2,Check audio settings. Update firmware. Replace internal speakers.
Desktop,Dell,Inspiron 3910,Linux Mint 21,16,9,2,Healthcare,Spring,32,4096,0,Expired,0,No Audio,Crackling Sound,Audio Device Not Found,Sound Card,Low,1902,2,Update audio drivers. Check connections. Replace sound card if needed.
Mobile,Samsung,Galaxy A14,iOS 17,50,11,36,Student,Spring,8,128,18,Expired,2,Voice Breaks,Recorder Not Working,Calls Connected,Microphone,Medium,1564,1,Clean microphone. Replace microphone module if issue persists.
Mobile,Oppo,Find X7 Pro,iOS 17,83,16,74,Business,Spring,12,256,59,Under Warranty,3,No Power,Random Restart,Touch Not Working,Motherboard,Critical,6566,7,Motherboard-level repair needed. Visit authorized service center immediately.
Mobile,Xiaomi,Redmi Note 13 Pro,iOS 15,56,9,46,Normal,Summer,16,128,30,Under Warranty,3,Slow Charging,Charging Stops,Port Damaged,Charging Port,Medium,1813,2,Replace charging port module.
Desktop,Asus,Mini PC PN64,Ubuntu 22.04,65,10,56,Office,Spring,64,256,0,Extended Warranty,4,Poor Airflow,High Case Temperature,Loud Case Noise,Cabinet Fan,Low,658,1,Clean case fans. Add additional fans. Optimize cable management.
Mobile,Motorola,Razr 40 Ultra,Android 13,42,10,33,Gaming,Autumn,12,128,89,Expired,4,Cracked Screen,Touch Not Working,Display Broken,Display,High,13138,2,Replace display + digitizer assembly.
Laptop,Samsung,Galaxy Book 4,Windows 11 Pro,60,14,48,Content Creator,Autumn,32,1024,66,Expired,2,Frequent BSOD,System Freeze,Memory Dump Error,RAM,High,3860,1,Run MemTest86. Replace faulty RAM. Ensure compatible RAM specs.
Desktop,Lenovo,Legion Tower 7i,Windows 10 Pro,46,13,38,Normal,Autumn,64,512,0,Extended Warranty,0,No Audio,Crackling Sound,Audio Device Not Found,Sound Card,Low,824,1,Update audio drivers. Check connections. Replace sound card if needed.
Tablet,Amazon,Fire HD 8 Plus,Fire OS 8,51,8,48,Business,Spring,3,128,41,Expired,3,WiFi Dropping,Cannot Connect,Slow WiFi,WiFi Module,Medium,2925,3,Update firmware. Reset network settings. Replace WiFi module.
Mobile,Vivo,Y56,Android 13,79,11,66,Office,Summer,6,512,76,Under Warranty,2,Green Tint,Dead Pixels,Burn In,Display,Medium,6370,3,Replace display panel. Burn-in not covered under warranty.
Mobile,Samsung,Galaxy S22,iOS 17,58,12,45,Developer,Spring,6,128,78,Expired,3,Voice Breaks,Recorder Not Working,Calls Connected,Microphone,Medium,1369,1,Clean microphone. Replace microphone module if issue persists.
Laptop,Acer,Chromebook Plus 514,Linux Mint,57,1,54,Normal,Autumn,16,256,93,Under Warranty,1,Fan Always Running,Loud Fan Noise,High CPU Temperature,Cooling Fan,Medium,1100,1,Clean vents. Update BIOS. Replace thermal paste.
Mobile,Xiaomi,13,iOS 16,73,12,61,Student,Monsoon,12,256,20,Extended Warranty,1,Blurry Photos,Camera App Crash,Black Screen In Camera,Camera,Medium,4126,4,"Clear camera cache. If issue persists, replace camera module."
Mobile,Xiaomi,Redmi Note 13 Pro+,iOS 15,34,4,16,Developer,Spring,4,1024,77,Expired,0,WiFi Dropping,Slow WiFi,Cannot Connect,WiFi Module,Medium,1112,3,Forget network and reconnect. Update firmware. Replace WiFi module if issue persists.
Laptop,Dell,XPS 15 9530,Ubuntu 22.04,18,5,1,Normal,Spring,32,2048,76,Under Warranty,1,Battery Not Charging To 100%,Charging Slowly,Battery Percentage Inaccurate,Battery,Low,3633,2,Calibrate battery. Update power management drivers. Replace if capacity below 50%.
Laptop,Lenovo,V15 G4,Windows 10,74,4,63,Healthcare,Summer,16,512,94,Expired,1,Fan Always Running,Loud Fan Noise,High CPU Temperature,Cooling Fan,Medium,1230,2,Clean vents. Update BIOS. Replace thermal paste.
Laptop,Dell,XPS 15 9530,Windows 11 Pro,36,11,24,Normal,Spring,32,512,33,Under Warranty,3,Poor Backup,Battery Swelling,Heating,Battery,Medium,5899,3,Replace laptop battery. Use only manufacturer-approved battery.
Smart TV,Samsung,Crystal UHD CU8000,Google TV,76,10,63,Business,Spring,1,8,0,Extended Warranty,1,Half Screen Dark,Horizontal Lines,Color Issues,T-Con Board,High,2350,4,Replace T-Con board. Experienced technician required.
Laptop,Acer,Predator Helios 16,macOS Ventura,79,13,71,Business,Summer,64,512,22,Expired,4,Camera Not Working,Blurry Video,Black Screen In Camera,Webcam,Low,1661,2,Update camera drivers. Check privacy shutter. Replace webcam module.
Mobile,Motorola,Edge 40 Pro,Android 14,80,5,66,Business,Autumn,16,128,81,Under Warranty,0,Slow Charging,Charging Stops,Port Damaged,Charging Port,Medium,1137,2,Replace charging port module.
Laptop,HP,Omen 16,Windows 11 Pro,46,11,44,Healthcare,Winter,64,2048,20,Expired,4,Poor Backup,Battery Swelling,Heating,Battery,Medium,4156,3,Replace laptop battery. Use only manufacturer-approved battery.
Mobile,Realme,C55,Android 14,71,7,66,Gaming,Monsoon,6,128,12,Extended Warranty,1,Green Tint,Dead Pixels,Burn In,Display,Medium,13545,3,Replace display panel. Burn-in not covered under warranty.
Desktop,HP,Pavilion TP01,Windows 11 Home,80,1,68,Healthcare,Winter,64,256,0,Extended Warranty,1,Game Crashes,Visual Glitches,High GPU Temp,GPU,High,2323,6,Clean GPU fan. Repaste GPU. Update drivers. Replace GPU if artifacts persist.
Mobile,Realme,C55,Android 14,21,14,17,Education,Winter,16,1024,5,Under Warranty,2,No Sound,Calls OK,Headphones Work,Speaker,Medium,594,2,"Clean speaker grille. If no improvement, replace speaker unit."
Desktop,Apple,Mac Mini M2,Windows 11 Home,59,11,54,Education,Spring,64,2048,0,Extended Warranty,0,Clicking Sound,Slow Performance,File Corruption,HDD,High,1684,3,Backup data immediately. Replace HDD. Run bad sector scan.
Mobile,Google,Pixel 8,Android 12,45,10,31,Developer,Summer,6,128,57,Under Warranty,2,WiFi Dropping,Slow WiFi,Cannot Connect,WiFi Module,Medium,3655,2,Forget network and reconnect. Update firmware. Replace WiFi module if issue persists.
Router,Tenda,WiFi 6 AX3000,RouterOS,83,1,75,Office,Autumn,0,0,0,Extended Warranty,4,Unequal Bandwidth,Gaming Lag,Video Buffering Despite Fast Speed,QoS Module,Low,162,1,Enable QoS in router settings. Prioritize gaming/streaming traffic.
Tablet,Samsung,Galaxy Tab S9 FE,Android 13,57,11,45,Content Creator,Autumn,16,64,95,Expired,0,Blurry Camera,Camera Not Opening,Autofocus Failure,Camera,Medium,2260,3,Clear camera app cache. Replace camera module if hardware fault.
Mobile,Vivo,X100,iOS 15,38,2,35,Gaming,Spring,16,64,65,Extended Warranty,3,Not Recognizing,Slow Response,Sensor Not Working,Fingerprint Sensor,Low,1071,1,Clean sensor. Re-register fingerprints. Replace sensor if faulty.
Printer,Samsung,Xpress C1860FW,Windows 10,12,10,5,Education,Spring,0,0,0,Expired,3,Faded Print,Streaky Output,Color Missing,Ink Cartridge,Low,2331,1,Replace or refill ink cartridges. Run printhead cleaning cycle.
Mobile,Oppo,Find X7,iOS 16,56,11,42,Normal,Winter,16,512,72,Extended Warranty,1,Poor Backup,Heating While Charging,Battery Percentage Jumping,Battery,Medium,2661,2,"Recalibrate battery. If issue persists, replace battery."
Laptop,MSI,Raider GE78 HX,Windows 11 Home,67,12,59,Gaming,Winter,16,256,63,Expired,4,Display Artifacts,Screen Flickering,Game Crashes,GPU,High,6975,7,Update GPU drivers. Clean GPU. Replace dedicated GPU if discrete card faulty.
Desktop,Lenovo,ThinkCentre Neo 50s,Ubuntu 22.04,29,16,15,Gaming,Autumn,8,1024,0,Expired,1,Driver Crashes,Black Screen,Monitor No Signal,GPU,Medium,10689,5,Reinstall GPU drivers. Check PCIe slot. Test with different monitor cable.
Desktop,Dell,Alienware Aurora R16,Windows 11 Home,33,9,15,Content Creator,Winter,64,2048,0,Under Warranty,4,System Shutdown Under Load,Thermal Throttling,High All-Core Temp,Cooling System,High,643,2,Clean entire cooling system. Add case fans. Repaste CPU and GPU.
Tablet,Apple,iPad Pro 13 M4,iPadOS 17,79,15,62,Normal,Spring,4,64,36,Expired,3,Blurry Camera,Camera Not Opening,Autofocus Failure,Camera,Medium,3810,2,Clear camera app cache. Replace camera module if hardware fault.
